source,target,weight,distance
152,933,15,13016.081
152,1150,13,12021.16186
152,1246,14,11642.93724
152,1362,18,10981.77988
152,1474,13,12145.25194
152,5775,11,52540.14196
153,1041,29,11294.3959
155,6205,19,54907.23887
155,6207,14,54942.97108
262,1040,16,10612.10811
262,1375,15,16372.97008
262,1473,11,11027.01025
262,1687,19,13905.66634
262,4017,12,37097.42064
263,2561,12,24147.91602
263,5775,11,51331.01745
263,1128,14,16972.93962
263,4017,37,36705.65735
263,4018,14,37097.03985
264,1473,13,11026.89896
264,2341,14,22984.62832
265,6205,19,53908.92556
265,6207,16,53945.3395
267,1375,55,12783.86455
267,1376,56,13430.03921
268,2022,18,17059.18578
268,1806,46,14117.99596
268,1807,28,14011.63951
268,4779,35,40941.56333
269,1378,151,13429.76185
269,2356,24,19202.45273
372,2847,30,59121.59309
372,7886,38,75887.04268
373,2847,15,58195.79647
373,1693,16,11980.00285
374,1821,27,21363.19306
374,3234,18,25956.4112
374,1808,29,13578.39179
375,1375,52,13430.24614
376,1268,18,14396.84718
376,1269,12,15237.4199
376,1375,15,12705.74018
377,1375,35,12020.54721
377,1376,84,12705.60944
377,1473,56,10752.16384
377,1683,27,18408.91315
377,2028,27,15007.55918
377,2341,19,24044.01614
377,2451,22,24799.08155
377,6205,35,52947.73321
377,6207,42,52909.53647
377,2450,24,25453.75428
378,1378,147,13429.83108
378,1806,478,13130.49528
378,1807,466,13016.08284
378,1381,90,15783.17928
379,1378,543,12705.34704
379,5775,115,49279.19117
380,1375,13,10277.47602
380,2356,11,18407.4268
380,2465,16,19613.24664
380,6432,12,54940.16192
380,4547,11,40095.03625
380,1245,11,16971.75228
380,1700,13,11979.14929
482,1041,23,10278.10764
482,1268,32,17433.89939
482,1269,24,18352.73192
482,1375,35,15238.04636
482,1376,27,16096.65996
482,1487,36,17462.54636
482,1590,33,12784.51843
482,1598,32,18835.17316
482,1817,99,19176.08934
482,2028,41,15205.8558
482,2686,47,20361.88373
482,2702,42,28234.53366
482,2809,34,26971.42003
482,2812,38,28949.00387
482,2922,46,29679.85396
482,2936,23,40422.72627
482,2956,95,58196.42197
482,3046,31,40973.55347
482,3156,20,41541.0646
482,3234,60,25038.07916
482,4231,25,35111.15382
482,4678,31,41159.40623
482,5775,26,49643.61726
482,5921,54,69163.94739
482,6204,30,51951.7324
482,6205,28,51999.40881
482,6880,21,60622.74777
482,7097,22,61739.43012
482,1589,25,12185.90524
482,2737,37,58409.66722
482,2921,44,29017.91721
482,4348,27,38416.88675
482,11845,12,107959.7439
482,4024,27,38764.28556
482,1706,73,17773.73617
482,3029,31,28550.84957
482,1808,26,13393.77892
482,2516,30,56810.5936
482,2738,39,59348.28708
482,2739,24,60288.79524
482,2813,37,29646.10619
482,2847,68,58758.2326
482,2848,49,59691.36793
482,2929,64,34765.63285
482,2955,47,57273.67718
482,3125,24,24146.34617
482,3579,63,32699.5856
482,5112,23,43100.36931
482,7886,42,74995.58268
482,1707,47,18568.8458
482,2846,45,57827.2441
482,2957,69,59121.59335
482,3142,37,31186.06198
482,3235,38,25137.27054
482,7536,53,65400.18752
482,7995,18,75446.33166
482,1597,23,17996.52028
482,4362,17,46014.25068
482,5007,64,43582.11796
482,2926,32,32499.71123
482,3149,27,36059.93973
482,4361,22,45371.20739
482,2743,29,64068.03405
482,2815,49,31089.5693
482,2814,102,30360.01425
482,2509,24,50233.21522
482,2515,27,55864.94761
482,2623,36,54319.58813
482,2628,30,59020.09115
482,2726,32,48241.06047
482,2728,26,50064.63487
482,2836,50,48662.56746
482,3051,24,45192.77699
482,3255,34,33910.30892
482,7555,19,71875.41977
483,1375,15,14397.29112
483,2327,11,31016.66628
483,8319,14,75474.74157
483,4016,14,34479.9894
483,2223,14,25572.35476
483,2847,15,57826.62282
483,7886,32,74548.81028
483,8429,13,76412.84105
484,1380,18,17857.08922
484,2341,20,21366.44608
484,4350,13,38416.0962
484,4126,125,35053.08325
484,7886,12,74112.7974
484,4125,11,34724.78848
484,4347,11,37271.23925
484,4235,79,35673.22501
484,4236,262,35992.86048
484,4346,17,36935.70659
484,4237,41,36337.11009
484,4015,16,33779.22384
485,1602,58,19688.09681
485,1381,52,17856.90482
485,1937,62,25507.86859
486,1381,84,16969.84531
487,1376,343,12020.48515
487,1492,114,17461.64584
487,1602,100,17995.59223
487,6204,66,51998.35536
487,6205,63,51950.15371
488,1473,197,10278.2128
488,2451,125,24718.44046
488,5775,67,48422.70023
488,2465,89,18217.23195
489,5775,80,48288.50236
489,1381,120,14396.40019
490,1378,65,11293.58355
490,1473,92,11382.34965
490,5775,89,48174.62201
490,1806,66,12627.39052
490,6561,34,58764.01417
591,2847,11,59348.92496
591,7886,16,74569.62654
592,1268,31,17058.31156
592,1375,20,14739.39229
592,1486,20,16096.66002
592,1598,17,18325.65767
592,1821,19,21916.00519
592,2028,22,14293.67182
592,2809,18,26203.05897
592,2835,23,47334.46767
592,2922,20,28949.00399
592,2956,15,57827.24435
592,3040,16,35544.88256
592,3234,28,24043.05684
592,4678,21,40241.23715
592,5775,11,48680.75293
592,5921,17,68461.83081
592,2356,18,16464.77266
592,2465,17,17233.82259
592,2737,17,58076.16386
592,2954,15,55972.13856
592,3472,17,32744.7567
592,7994,11,74114.35193
592,1706,23,17174.92917
592,1797,18,12063.33451
592,2738,35,59020.09141
592,2847,33,58409.66748
592,2848,18,59348.28734
592,2929,18,34143.86423
592,2955,23,56898.50866
592,7886,23,74106.84364
592,2846,23,57473.02905
592,3578,15,31330.16982
592,4362,15,45261.03106
592,4568,14,39326.97109
592,5657,27,46193.13523
592,4825,12,65088.89654
592,5007,38,42646.00162
592,2247,17,15784.80015
592,2407,19,57168.60007
592,2743,20,63764.15248
592,2815,20,30425.42801
592,3474,14,33998.52728
592,2509,51,49884.9567
592,2515,13,55552.02646
592,2618,15,49302.6937
592,2622,11,53039.40629
592,2623,11,53979.25389
592,2628,21,58707.03003
592,2629,11,59657.65549
592,2726,31,47836.66841
592,2727,16,48754.34243
592,2728,20,49675.09874
592,2836,34,48241.06068
592,2838,23,50064.63509
592,2947,15,49564.94419
592,3803,11,35741.87964
592,3914,13,37136.34508
592,7001,13,64728.89553
592,2507,19,48013.1013
592,4901,13,43305.96366
592,2842,16,53748.37129
592,3687,14,31709.72377
593,1243,15,11643.05279
593,1268,22,16127.33672
593,2809,11,25567.72489
593,3234,17,23980.67489
593,5921,13,67752.08346
593,6327,15,53758.0711
593,2355,19,16097.48265
593,2738,16,58075.5392
593,2847,19,57472.41158
593,7886,24,73654.68987
593,1806,18,11382.58136
593,1807,20,11684.9583
593,2357,14,16464.60588
593,2509,18,48947.28992
593,4600,13,59089.83557
594,1375,38,13015.81495
594,1683,39,14841.9641
594,2028,46,13578.3919
594,2466,47,17088.37254
594,2465,56,17000.75053
594,1806,126,11161.48282
594,1807,394,11382.46592
594,1381,38,18352.35387
595,1590,89,10278.0036
595,1700,60,11161.19871
595,1807,77,11161.36948
596,1806,85,10981.33563
596,1807,88,11026.56359
596,1381,77,16523.58369
598,2465,102,17233.29825
600,5775,179,47181.87079
601,2028,74,13318.55046
601,5775,166,47086.49247
701,1461,13,12187.06668
703,1375,27,13393.23142
703,1376,12,14293.01387
703,1486,19,14739.24141
703,1821,29,20555.05214
703,1934,16,23664.48352
703,2028,27,12978.00779
703,2809,29,24796.06396
703,2812,34,26822.66981
703,2835,21,46010.81998
703,2922,25,27537.57759
703,2936,17,38516.6741
703,2956,27,56537.86466
703,3046,32,39043.3565
703,3234,21,22983.24944
703,4004,27,29966.49136
703,5775,14,47457.33768
703,5921,48,67050.04714
703,6204,37,49926.41249
703,6205,12,49956.09469
703,6880,13,58420.89836
703,8319,13,73603.28661
703,8939,11,76173.66554
703,2358,12,15784.64013
703,2737,24,56809.98375
703,2921,41,26859.93429
703,3274,11,46922.26687
703,7994,11,72784.58422
703,9049,12,77155.33391
703,1485,14,13868.44523
703,1699,16,10798.30016
703,2918,14,24956.42782
703,4024,27,36554.70446
703,1706,17,15783.99343
703,3029,34,26354.60774
703,2468,12,16734.69653
703,2516,17,55254.77047
703,2738,63,57757.36192
703,2739,14,58706.39812
703,2813,20,27537.43418
703,2847,42,57133.44103
703,2848,34,58075.53945
703,2955,27,55605.50352
703,3579,19,30475.30969
703,7886,27,72763.27523
703,1806,19,10422.75039
703,2846,30,56193.25295
703,2851,12,60912.40365
703,3030,22,26971.14273
703,3235,22,23048.08799
703,4458,18,37097.04044
703,1700,14,11382.34974
703,1807,34,10752.16397
703,2357,14,15497.99118
703,4362,13,43851.98955
703,2852,12,61861.27684
703,5657,15,45101.23275
703,4361,14,43199.80923
703,2407,25,55935.31979
